N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
156,오뚜기,"452,000","1,500",+0.33%,"5,000","16,597","3,672",11.98,"2,687",11.38,8.91,
157,대웅,"28,450",550,+1.97%,500,"16,541","58,142",4.43,"29,755",16.70,11.13,
158,코스모신소재,"53,800","1,700",+3.26%,"1,000","16,490","30,651",7.94,"635,139",77.08,9.42,
159,효성첨단소재,"364,500","5,000",+1.39%,"5,000","16,329","4,480",6.57,"28,732",6.17,54.69,
160,KODEX 단기채권PLUS,"103,795",25,+0.02%,0,"16,308","15,712",0.00,"2,082,423",N/A,N/A,
161,동원시스템즈,"55,500",800,+1.46%,"5,000","16,200","29,188",13.11,"20,523",37.47,6.95,
162,롯데칠성,"173,000",500,+0.29%,500,"16,052","9,279",11.52,"15,031",11.07,9.96,
163,효성,"75,400",800,+1.07%,"5,000","15,888","21,071",5.51,"34,381",3.91,18.04,
164,현대백화점,"65,900",400,-0.60%,"5,000","15,422","23,402",20.63,"30,238",7.40,4.36,
165,DL이앤씨,"39,800",700,-1.73%,"5,000","15,400","38,694",21.67,"199,779",3.29,N/A,
166,신풍제약,"29,000",750,-2.52%,500,"15,366","52,985",4.90,"654,375",-87.09,-3.19,
167,TIGER 미국필라델피아반도체나스닥,"10,105",205,+2.07%,0,"14,758","146,050",0.29,"1,252,401",N/A,N/A,
168,코오롱인더,"53,500",300,+0.56%,"5,000","14,723","27,519",18.54,"95,040",7.16,8.20,
169,JB금융지주,"7,450",60,+0.81%,"5,000","14,675","196,983",27.65,"228,214",2.71,12.80,
170,롯데렌탈,"39,850",300,+0.76%,"5,000","14,599","36,634",5.10,"44,724",10.01,12.28,
171,에스엘,"31,050",800,-2.51%,500,"14,422","46,449",14.59,"236,573",17.94,6.63,
172,KODEX KOFR금리액티브(합성),"100,455",5,0.00%,0,"14,260","14,195",0.00,"15,790",N/A,N/A,
173,솔루스첨단소재,"40,000",550,+1.39%,100,"14,044","35,111",5.59,"411,757",167.36,4.00,
174,효성티앤씨,"321,500","2,000",+0.63%,"5,000","13,913","4,328",9.55,"19,014",1.99,76.22,
175,TIGER 미국테크TOP10 INDXX,"10,705",125,+1.18%,0,"13,911","129,950",0.31,"755,078",N/A,N/A,
176,TIGER TOP10,"10,730",155,+1.47%,0,"13,783","128,450",0.51,"300,653",N/A,N/A,
177,대덕전자,"27,850",750,-2.62%,500,"13,763","49,417",18.72,"720,008",16.51,9.55,
178,한미반도체,"13,700",200,-1.44%,100,"13,552","98,920",5.19,"376,370",13.07,34.59,
179,KODEX 종합채권(AA-이상)액티브,"103,390",185,-0.18%,0,"13,547","13,103",0.00,"6,194",N/A,N/A,
180,한샘,"57,000",200,-0.35%,"1,000","13,414","23,534",14.14,"49,312",24.88,9.10,
181,대성홀딩스,"82,700","1,300",+1.60%,"1,000","13,306","16,089",5.22,"138,178",76.57,3.61,
182,DL,"63,300",700,-1.09%,"5,000","13,265","20,956",10.71,"74,693",2.16,26.52,
183,KODEX 삼성그룹,"8,585",145,+1.72%,0,"13,238","154,200",0.12,"433,851",N/A,N/A,
184,KODEX 2차전지산업,"18,680",650,+3.61%,0,"13,132","70,300",0.59,"2,012,676",N/A,N/A,
185,DGB금융지주,"7,760",60,+0.78%,"5,000","13,126","169,146",48.48,"150,094",2.42,9.63,
186,KODEX 단기채권,"103,485",20,+0.02%,0,"12,731","12,302",0.53,"2,033,595",N/A,N/A,
187,아이에스동서,"40,350",100,-0.25%,500,"12,465","30,893",6.20,"40,890",7.24,8.69,
188,TIGER 2차전지테마,"18,765",530,+2.91%,0,"12,451","66,350",0.83,"952,583",N/A,N/A,
189,LX인터내셔널,"31,700",50,-0.16%,"5,000","12,287","38,760",26.41,"193,531",2.77,22.49,
190,TIGER MSCI Korea TR,"13,250",80,+0.61%,0,"12,270","92,600",4.75,59,N/A,N/A,
191,롯데리츠,"5,000",20,-0.40%,500,"12,148","242,969",11.01,"257,973",32.89,1.59,
192,일진하이솔루스,"33,400",0,0.00%,500,"12,129","36,313",1.52,"42,470",125.09,4.97,
193,KG스틸,"12,100",100,+0.83%,"5,000","12,101","100,009",1.94,"1,836,107",5.23,17.99,
194,동국제강,"12,650",100,+0.80%,"5,000","12,072","95,433",22.78,"267,115",1.52,23.41,
195,서울가스,"239,000","1,000",+0.42%,"5,000","11,950","5,000",3.80,"22,698",65.02,0.80,
196,한국앤컴퍼니,"12,000",150,-1.23%,500,"11,392","94,935",9.16,"115,557",6.39,5.53,
197,두산,"68,600","1,200",+1.78%,"5,000","11,335","16,524",11.89,"56,086",78.58,11.08,
198,현대엘리베이,"27,700",200,-0.72%,"5,000","11,306","40,815",29.68,"124,403",11.12,10.62,
199,KODEX 200TR,"10,755",70,+0.66%,0,"11,277","104,850",0.14,"90,800",N/A,N/A,
200,KBSTAR 200,"32,365",210,+0.65%,0,"11,263","34,800",0.00,"77,265",N/A,N/A,
